run_accession	read_count	samples	cells	treatment
SRR1039508	22935521	N61311_untreated	N61311	untreated
SRR1039509	21155707	N61311_Dex	N61311	Dex
SRR1039510	22852619	N61311_Alb	N61311	Alb
SRR1039511	21938637	N61311_Alb_Dex	N61311	Alb_Dex
SRR1039512	28136282	N052611_untreated	N052611	untreated
SRR1039513	43356464	N052611_Dex	N052611	Dex
SRR1039514	40021727	N052611_Alb	N052611	Alb
SRR1039515	29454748	N052611_Alb_Dex	N052611	Alb_Dex
SRR1039516	30043024	N080611_untreated	N080611	untreated
SRR1039517	34298260	N080611_Dex	N080611	Dex
SRR1039518	30441200	N080611_Alb	N080611	Alb
SRR1039519	31533740	N080611_Alb_Dex	N080611	Alb_Dex
SRR1039520	34575286	N061011_untreated	N061011	untreated
SRR1039521	41152075	N061011_Dex	N061011	Dex
SRR1039522	28406812	N061011_Alb	N061011	Alb
SRR1039523	31099538	N061011_Alb_Dex	N061011	Alb_Dex
